orcid,nome,genero
orcid.org/0000-0002-8687-2613,Eduardo Uchoa,Masculino
orcid.org/0000-0002-8727-4500,Sergio Salles-Filho,Masculino
orcid.org/0000-0002-8746-1680,Dario Cecilio-Fernandes,Masculino
orcid.org/0000-0002-8757-4124,Sostenes Lins,Masculino
orcid.org/0000-0002-8781-3914,Rafael Pasquini,Masculino
orcid.org/0000-0002-8786-3313,Fabricio Martins Lopes,Masculino
orcid.org/0000-0002-8803-0401,Rodolfo Azevedo,Masculino
orcid.org/0000-0002-8837-9291,Sueli I. R. Costa,Feminino
orcid.org/0000-0002-8856-194X,Ricardo Anido,Masculino
orcid.org/0000-0002-8889-1586,Jefersson A. dos Santos,Masculino
orcid.org/0000-0002-8972-080X,Fábio Usberti,Masculino
orcid.org/0000-0002-9104-613X,Tiago Fernandes Tavares,Masculino
orcid.org/0000-0002-9206-8138,Jerônimo Pellegrini,Masculino
orcid.org/0000-0002-9209-7764,Gustavo Maciel Dias Vieira,Masculino
orcid.org/0000-0002-9244-9969,Anand Subramanian,Masculino
orcid.org/0000-0002-9272-3403,Thiago T. Santos,Masculino
orcid.org/0000-0002-9318-7956,Antonio Carlos Aloise,Masculino
orcid.org/0000-0002-9384-8347,Luiz C. V. dos Santos,Masculino
orcid.org/0000-0002-9393-398X,Adler Souza,Masculino
orcid.org/0000-0002-9460-8847,PAULO ROBERTO PEREIRA SANTIAGO,Masculino
orcid.org/0000-0002-9529-4253,Pedro J. de Rezende,Masculino
orcid.org/0000-0002-9539-6874,Sandro Rigo,Masculino
orcid.org/0000-0002-9545-2098,Julio Cesar Dos Reis,Masculino
orcid.org/0000-0002-9554-1381,Ricardo Machado Leite de Barros,Masculino
orcid.org/0000-0002-9598-5732,Luciana Buriol,Feminino
orcid.org/0000-0002-9666-3954,Ricardo Gudwin,Masculino
orcid.org/0000-0002-9671-9313,Francisco Pereira Lobo,Masculino
orcid.org/0000-0002-9682-0075,Lourenço Alves Pereira Júnior,Masculino
orcid.org/0000-0002-9707-799X,José Mario De Martino,Masculino
orcid.org/0000-0002-9835-352X,Edilson Arruda,Masculino
orcid.org/0000-0002-9908-4384,Bruno Cafeo,Masculino
orcid.org/0000-0002-9936-3770,Augusto Venâncio Neto,Masculino
orcid.org/0000-0002-9955-5721,Alexandre Cunha,Masculino
orcid.org/0000-0002-9957-5861,Philippe Navaux,Masculino
orcid.org/0000-0002-9992-8540,Márcio Castro,Masculino
orcid.org/0000-0003-0037-5972,Marta Luiza Strambi,Feminino
orcid.org/0000-0003-0040-0752,Fátima Nunes,Feminino
orcid.org/0000-0003-0087-6806,FLAVIA VASQUES BITTENCOURT,Feminino
orcid.org/0000-0003-0117-9308,André Pacheco,Masculino
orcid.org/0000-0003-0125-630X,Helio Pedrini,Masculino
orcid.org/0000-0003-0158-7432,Renan Moritz Varnier Rodrigues de Almeida,Masculino
orcid.org/0000-0003-0191-582X,Mariza Ferro,Feminino
orcid.org/0000-0003-0225-5106,Sara D. Cardell,Feminino
orcid.org/0000-0003-0290-0080,Leonardo Tomazeli Duarte,Masculino
orcid.org/0000-0003-0325-1596,Vagner Santana,Masculino
orcid.org/0000-0003-0467-3133,Esther Luna Colombini,Feminino
orcid.org/0000-0003-0499-2564,Marcos M. Raimundo,Masculino
orcid.org/0000-0003-0524-3274,Julio Cezar Estrella,Masculino
orcid.org/0000-0003-0602-6298,Carla Negri Lintzmayer,Feminino
orcid.org/0000-0003-0678-4777,Regina Moraes,Feminino
orcid.org/0000-0003-0683-7672,Anamaria Gomide,Feminino
orcid.org/0000-0003-0750-0502,Alexandru Cristian Telea,Masculino
orcid.org/0000-0003-0804-1790,Zenilton Patrocínio Jr,Masculino
orcid.org/0000-0003-0866-6272,Célio Maschio,Masculino
orcid.org/0000-0003-0993-2798,Lais Mais,Feminino
orcid.org/0000-0003-1001-082X,Lehilton Pedrosa,Masculino
orcid.org/0000-0003-1119-2450,Denis Rosário,Masculino
